zone_id,name,n_years,slope,tau,s,var_s,z,p,p_adjusted,significant,status
LK1115310,Koswatta,12,-0.24237102704036784,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1115315,Pagngnagula,12,-0.32069099451829824,-0.5757575757575758,-38.0,212.66666666666666,-2.537184280897844,0.011174811327380407,0.297547435240223,False,ok
LK1115320,Pelpola,12,-0.26121007262593127,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1115325,Kudakanda,12,-0.08222679656127524,-0.15151515151515152,-10.0,212.66666666666666,-0.6171529331913674,0.5371338571769022,0.6298601230474412,False,ok
LK1115330,Thunnana West,12,-0.31507950647823435,-0.7575757575757576,-50.0,212.66666666666666,-3.360054858486334,0.0007792699724176178,0.297547435240223,False,ok
LK1115335,Mawathagama West,12,-0.09195910340369881,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1115340,Mawathagama East,12,-0.030415975087794856,-0.09090909090909091,-6.0,212.66666666666666,-0.34286274066187084,0.7317017232242102,0.7898408136354362,False,ok
LK1118005,Pinnawala North,12,-0.17650876689562653,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1118010,Pinnawala South,12,-0.1493622286506633,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1118015,Waga North,12,-0.19604563839083025,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1118020,Waga East,12,-0.2180295957452258,-0.5454545454545454,-36.0,212.66666666666666,-2.400039184633096,0.016393316888809073,0.297547435240223,False,ok
LK1118025,Thummodara,12,-0.27935824186905533,-0.6060606060606061,-40.0,212.66666666666666,-2.6743293771625924,0.007487886815149114,0.297547435240223,False,ok
LK1118030,Waga South,12,-0.19364493466566984,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1118035,Siyambalawa,12,-0.24288497262118647,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1118040,Pahala Bope,12,-0.27771176994283664,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1118045,Halpe,12,-0.22505312772618916,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1118050,Waga West,12,-0.2760962946429867,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1118055,Uggalla,12,-0.23799031192176567,-0.6060606060606061,-40.0,212.66666666666666,-2.6743293771625924,0.007487886815149114,0.297547435240223,False,ok
LK1118060,Wewelpanawa,12,-0.20931816269812645,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1118065,Pitumpe North,12,-0.17988495606383442,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1118070,Pitumpe South,12,-0.1577282230031097,-0.2727272727272727,-18.0,212.66666666666666,-1.1657333182503609,0.24372228477217428,0.4421932007104269,False,ok
LK1118075,Galagedara East,12,-0.14611598212329352,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1118080,Galagedara North,12,-0.1782571946131145,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1118085,Galagedara South,12,-0.20264009540638958,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1118090,Padukka,12,-0.24364217251420978,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
LK1118095,Arukwatta North,12,-0.176147114919255,-0.36363636363636365,-24.0,212.66666666666666,-1.5771686070446058,0.11475673431864908,0.3716250059039973,False,ok
LK1118100,Arukwatta South,12,-0.1640432454264804,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
