year,source,rural_definition,urban_mean,rural_mean,suhii,urban_pixels,rural_pixels
2015,terra_day,buffer_ring,33.47633307320731,30.67697924375534,2.7993538294519666,14,32
2016,terra_day,buffer_ring,34.73749968584846,30.886549532413483,3.8509501534349795,17,32
2017,terra_day,buffer_ring,33.6750815709432,31.478968799114227,2.1961127718289717,18,32
2018,terra_day,buffer_ring,35.1013728871065,30.952245831489563,4.149127055616937,17,32
2019,terra_day,buffer_ring,33.66518723964691,31.146697163581848,2.5184900760650635,16,32
2020,terra_day,buffer_ring,32.51818240772594,31.80366152524948,0.7145208824764566,11,32
2021,terra_day,buffer_ring,33.92154802594866,31.235463201999664,2.6860848239489954,14,32
2022,terra_day,buffer_ring,35.13999923070272,30.711407482624054,4.4285917480786665,12,32
2023,terra_day,buffer_ring,33.493025266207184,29.717212796211243,3.775812469995941,13,32
2024,terra_day,buffer_ring,31.734549903869627,30.440109074115753,1.2944408297538743,20,32
2025,terra_day,buffer_ring,31.615062713623047,28.931448817253113,2.683613896369934,16,32
2000,terra_day,lcz_based,31.571519473090245,30.226974893471123,1.3445445796191215,398,142
2001,terra_day,lcz_based,30.946067603988265,29.771884688382904,1.1741829156053605,398,142
2002,terra_day,lcz_based,31.122513617702467,29.88107327138706,1.2414403463154073,398,142
2003,terra_day,lcz_based,31.425600553813734,29.99433839709192,1.4312621567218144,399,142
2004,terra_day,lcz_based,31.986285412819463,30.546318541513525,1.4399668713059377,399,142
2005,terra_day,lcz_based,31.10740558806835,30.091235328542123,1.016170259526227,397,142
2006,terra_day,lcz_based,31.626488548682378,30.221692956030793,1.4047955926515847,397,142
2007,terra_day,lcz_based,32.039835850196546,30.632861152525276,1.40697469767127,395,142
2008,terra_day,lcz_based,31.598795266976033,30.214658733125223,1.3841365338508105,399,142
2009,terra_day,lcz_based,32.351674879440154,30.77993025584729,1.5717446235928634,396,142
2010,terra_day,lcz_based,32.845147590637204,31.248497015950687,1.5966505746865174,400,142
2011,terra_day,lcz_based,32.17230087533936,30.417534043996458,1.7547668313429021,391,141
2012,terra_day,lcz_based,32.352459824815085,30.8501371885022,1.5023226363128863,392,142
2013,terra_day,lcz_based,31.90998289320204,30.477646468751892,1.432336424450149,396,142
2014,terra_day,lcz_based,33.01433292213751,31.527572778969834,1.486760143167679,392,142
2015,terra_day,lcz_based,32.19387700903507,30.622175216621415,1.5717017924136556,393,142
2016,terra_day,lcz_based,32.576775287263956,30.623126212310723,1.9536490749532334,398,142
2017,terra_day,lcz_based,32.5583044926923,31.299774416194975,1.2585300764973262,399,142
2018,terra_day,lcz_based,32.777647952644195,30.789359087240253,1.9882888654039412,392,142
2019,terra_day,lcz_based,32.721064818532845,31.234545861536574,1.486518956996271,399,142
2020,terra_day,lcz_based,33.40824802675395,31.536203777592867,1.8720442491610854,386,142
2021,terra_day,lcz_based,33.045315505903396,31.0142858310761,2.0310296748272947,391,142
2022,terra_day,lcz_based,32.61926127463272,30.4597338315745,2.15952744305822,388,142
2023,terra_day,lcz_based,31.354187075460477,29.386235778383206,1.9679512970772706,389,142
2024,terra_day,lcz_based,31.766892738436944,30.127316337577113,1.6395764008598306,403,142
2025,terra_day,lcz_based,30.252314257621766,28.78621312550708,1.4661011321146873,400,142
2000,terra_night,buffer_ring,23.130126167746152,20.454432249069214,2.675693918676938,34,32
2001,terra_night,buffer_ring,23.33636816810159,21.109959542751312,2.2264086253502775,34,32
2002,terra_night,buffer_ring,24.258517265319824,21.27879136800766,2.9797258973121643,34,32
2003,terra_night,buffer_ring,23.8661730149213,21.82263970375061,2.043533311170691,34,32
2004,terra_night,buffer_ring,24.00787561080035,21.49405324459076,2.5138223662095918,34,32
2005,terra_night,buffer_ring,23.786017193513757,21.439286708831787,2.34673048468197,34,32
2006,terra_night,buffer_ring,24.441093557021198,21.615267515182495,2.8258260418387025,34,32
2007,terra_night,buffer_ring,24.061365351957434,21.480441391468048,2.580923960489386,34,32
2008,terra_night,buffer_ring,24.193220306845273,21.606690287590027,2.586530019255246,34,32
2009,terra_night,buffer_ring,23.927835688871497,21.224467992782593,2.703367696088904,34,32
2010,terra_night,buffer_ring,23.931061464197494,21.965503573417664,1.9655578907798308,34,32
2011,terra_night,buffer_ring,22.708349227905273,21.453208446502686,1.255140781402588,34,32
2012,terra_night,buffer_ring,23.636842334971707,20.719586551189423,2.9172557837822843,34,32
2013,terra_night,buffer_ring,23.42973097632913,21.43567246198654,1.994058514342587,34,32
2014,terra_night,buffer_ring,24.242195522083957,21.675027787685394,2.567167734398563,34,32
2015,terra_night,buffer_ring,24.037155880647546,22.10912048816681,1.9280353924807372,34,32
2016,terra_night,buffer_ring,24.31489787382238,21.946910738945007,2.3679871348773744,34,32
2017,terra_night,buffer_ring,23.716299954582663,21.91593027114868,1.8003696834339813,34,32
2018,terra_night,buffer_ring,23.851812474867877,20.733558535575867,3.1182539392920106,34,32
2019,terra_night,buffer_ring,24.11243954826804,22.212661623954773,1.8997779243132662,34,32
2020,terra_night,buffer_ring,24.68867094376508,22.313669979572296,2.3750009641927825,34,32
2021,terra_night,buffer_ring,24.085381395676556,21.80749660730362,2.277884788372937,34,32
2022,terra_night,buffer_ring,23.728209551642923,21.822088837623596,1.9061207140193268,34,32
2023,terra_night,buffer_ring,24.223480953889734,22.016271889209747,2.2072090646799865,34,32
2024,terra_night,buffer_ring,25.022746198317584,22.720708072185516,2.302038126132068,34,32
2025,terra_night,buffer_ring,25.210112179026883,21.807405292987823,3.4027068860390592,34,32
2000,terra_night,lcz_based,21.021039677762438,20.299018524380905,0.722021153381533,435,142
2001,terra_night,lcz_based,21.3073223727873,20.842881823131936,0.4644405496553645,435,142
2002,terra_night,lcz_based,21.879460775441135,21.537711327330946,0.34174944811018904,435,142
2003,terra_night,lcz_based,22.27446156644273,21.629820626271897,0.6446409401708344,435,142
2004,terra_night,lcz_based,21.90871835028988,21.16988803612501,0.738830314164872,435,142
2005,terra_night,lcz_based,21.9835626448708,21.41098573027875,0.5725769145920516,435,142
2006,terra_night,lcz_based,22.639717388373324,21.180347706517683,1.459369681855641,433,142
2007,terra_night,lcz_based,22.19703475250595,21.298804609895726,0.8982301426102239,435,142
2008,terra_night,lcz_based,22.24803714532962,21.563609332959846,0.6844278123697727,435,142
2009,terra_night,lcz_based,21.948102591503627,21.12588767670102,0.8222149148026077,435,142
2010,terra_night,lcz_based,22.169618225097658,21.531081984511385,0.6385362405862729,435,142
2011,terra_night,lcz_based,20.992690781341203,21.204404047321812,-0.21171326598060958,435,142
2012,terra_night,lcz_based,21.68714826298856,21.093367907303378,0.5937803556851833,435,142
2013,terra_night,lcz_based,21.800603077329438,21.382235188112755,0.41836788921668244,435,142
2014,terra_night,lcz_based,22.345035022428664,21.66977642214254,0.6752586002861243,435,142
2015,terra_night,lcz_based,22.542953105356503,21.792282444939527,0.7506706604169757,435,142
2016,terra_night,lcz_based,22.380529285299367,21.850057367881167,0.5304719174182004,435,142
2017,terra_night,lcz_based,22.24364012794933,21.89737547138968,0.3462646565596508,435,142
2018,terra_night,lcz_based,21.906068359024225,20.92477809950744,0.9812902595167863,435,142
2019,terra_night,lcz_based,22.52612182792576,22.113667652822976,0.41245417510278415,435,142
2020,terra_night,lcz_based,22.906633293765715,22.28934467831496,0.6172886154507538,435,142
2021,terra_night,lcz_based,21.998533963609017,21.572183665385204,0.426350298223813,435,142
2022,terra_night,lcz_based,21.778896182706987,21.499355904804478,0.2795402779025089,435,142
2023,terra_night,lcz_based,22.203653296108904,21.81159628004492,0.39205701606398335,435,142
2024,terra_night,lcz_based,23.16207529703776,22.596104942020887,0.5659703550168729,435,142
2025,terra_night,lcz_based,22.67311284295444,21.70861694235997,0.9644959005944678,435,142
2000,aqua_day,buffer_ring,,,,0,0
2001,aqua_day,buffer_ring,,,,0,0
2002,aqua_day,buffer_ring,37.52999986921038,31.166004300117493,6.363995569092886,7,32
2003,aqua_day,buffer_ring,37.941009521484375,32.32579118013382,5.615218341350555,11,32
2004,aqua_day,buffer_ring,38.391357845730255,33.400483548641205,4.99087429708905,9,32
2005,aqua_day,buffer_ring,37.735556284586586,32.00883108377457,5.7267252008120195,9,32
2006,aqua_day,buffer_ring,38.27536985609267,31.935245513916016,6.340124342176651,9,32
2007,aqua_day,buffer_ring,37.885252172296696,33.35459911823273,4.5306530540639685,11,32
2008,aqua_day,buffer_ring,36.50152858098348,31.807156205177307,4.694372375806175,12,32
2009,aqua_day,buffer_ring,38.685303081165664,33.72620689868927,4.959096182476394,11,32
2010,aqua_day,buffer_ring,38.09171485900879,33.17198687791824,4.919727981090546,10,32
2011,aqua_day,buffer_ring,37.30200119018555,32.582791447639465,4.719209742546084,5,32
2012,aqua_day,buffer_ring,36.670000076293945,32.314190089702606,4.355809986591339,6,32
2013,aqua_day,buffer_ring,38.96666590372721,33.09407567977905,5.872590223948158,3,32
2014,aqua_day,buffer_ring,37.120718442476715,35.83572614192963,1.2849923005470885,13,32
2015,aqua_day,buffer_ring,37.894999504089355,32.869421541690826,5.025577962398529,4,32
2016,aqua_day,buffer_ring,37.80999908447266,33.43584644794464,4.374152636528017,5,32
2017,aqua_day,buffer_ring,37.80092263221741,33.206563234329224,4.594359397888184,16,32
2018,aqua_day,buffer_ring,35.56199951171875,33.446911334991455,2.1150881767272978,25,32
2019,aqua_day,buffer_ring,38.85525035858154,33.48627817630768,5.368972182273865,8,32
2020,aqua_day,buffer_ring,38.48750019073486,33.77222138643265,4.715278804302216,4,32
2021,aqua_day,buffer_ring,39.13999938964844,32.85245752334595,6.28754186630249,2,32
2022,aqua_day,buffer_ring,38.45000076293945,33.46082532405853,4.98917543888092,2,32
2023,aqua_day,buffer_ring,36.79999923706055,33.17689573764801,3.6231034994125366,2,32
2024,aqua_day,buffer_ring,38.60249900817871,33.77983623743057,4.822662770748138,4,32
2025,aqua_day,buffer_ring,36.49749946594238,31.455502331256866,5.041997134685516,4,32
2000,aqua_day,lcz_based,,,,0,0
2001,aqua_day,lcz_based,,,,0,0
2002,aqua_day,lcz_based,32.98921251173143,31.371709398390955,1.6175031133404758,385,141
2003,aqua_day,lcz_based,33.21816592422757,32.20787307148212,1.0102928527454509,393,141
2004,aqua_day,lcz_based,34.377262169552836,33.0598570011089,1.3174051684439334,388,141
2005,aqua_day,lcz_based,33.54606838324635,31.74608990755713,1.799978475689219,388,141
2006,aqua_day,lcz_based,33.73268801632761,31.97518458321227,1.757503433115339,389,141
2007,aqua_day,lcz_based,34.28971241210318,32.929318209838684,1.3603942022644944,394,141
2008,aqua_day,lcz_based,33.38386320220638,31.64665888960317,1.7372043126032075,394,141
2009,aqua_day,lcz_based,35.20291422072615,33.84972011731129,1.3531941034148574,387,141
2010,aqua_day,lcz_based,35.20818861633616,33.219838568526555,1.988350047809604,387,141
2011,aqua_day,lcz_based,34.107573847953084,32.61355028419239,1.4940235637606918,366,139
2012,aqua_day,lcz_based,34.2030885856189,32.397617833540146,1.8054707520787545,382,141
