zone_id,gi_z_pooled,gi_z_single_sensor,class_pooled,class_single_sensor
LK1112265,-1.9213151299257027,-1.859153543478878,cold_90,cold_90
LK1112270,-2.487671598763748,-2.438221724059503,cold_95,cold_95
LK1112275,-2.9691875486291783,-2.946459787011809,cold_99,cold_99
LK1112280,-2.549256572835117,-2.5249507223203858,cold_95,cold_95
LK1112285,-2.52003872361254,-2.4963817381298385,cold_95,cold_95
LK1112290,-2.4174000804644806,-2.3731166103290544,cold_95,cold_95
LK1112295,-2.396342788099754,-2.307004751888117,cold_95,cold_95
LK1112300,-1.9243473312627402,-1.8125566846767354,cold_90,cold_90
LK1112305,-1.1213533774463267,-1.051820267171544,ns,ns
LK1112310,0.34368240759877905,0.33304483540714896,ns,ns
LK1112315,-1.2609744748224825,-1.2333404769796623,ns,ns
LK1112320,-1.250190513412029,-1.2424254886489265,ns,ns
LK1112325,-0.9100525837855775,-0.8889913573939493,ns,ns
LK1112330,-1.3973310079132644,-1.3942187035817888,ns,ns
LK1112335,-1.531280357026931,-1.4729018772036242,ns,ns
LK1112340,-1.9982136850857035,-1.899639387205054,cold_95,cold_90
LK1112345,-1.9135784392870379,-1.8087745268303121,cold_90,ns
LK1112350,-2.1193188005913948,-2.0547647898541164,cold_95,cold_90
LK1112355,-2.513726605236194,-2.465967386437072,cold_95,cold_95
LK1112360,-1.774781350942205,-1.7345428248183279,ns,ns
LK1112365,-1.4963120388770892,-1.3995127981712487,ns,ns
LK1112370,-1.3764854309582244,-1.3045650535097097,ns,ns
LK1112375,-1.3975146388913204,-1.3117162715301518,ns,ns
LK1112380,-1.6313215376563763,-1.5711648244251,ns,ns
LK1112385,-1.6084320062268425,-1.5766195503295009,ns,ns
LK1112390,-2.335620884958011,-2.320995907537682,cold_95,cold_95
LK1112395,-2.312471905333375,-2.3476397290337627,cold_90,cold_90
LK1112400,-2.1620160956681063,-2.1616352274284067,cold_90,cold_90
LK1112405,-1.9939919476688828,-1.9370451085655513,cold_90,cold_90
LK1115005,-3.201002728797317,-3.2333241146800575,cold_95,cold_95
LK1115010,-3.2410906075968042,-3.26080250732241,cold_99,cold_99
LK1115015,-3.7198951958832893,-3.7526770674075443,cold_99,cold_99
LK1115020,-3.67744444665044,-3.723799041026517,cold_99,cold_99
LK1115025,-3.3393632129825295,-3.3783164724447414,cold_99,cold_99
LK1115030,-3.5290475425778602,-3.6130878847495063,cold_99,cold_99
LK1115035,-1.5580615112982685,-1.6912537275096593,ns,ns
LK1115040,-1.268441874118773,-1.4039854103825666,ns,ns
LK1115045,-1.235310917472299,-1.385498562846249,ns,ns
LK1115050,-1.5868698453503494,-1.734393470351687,ns,ns
LK1115055,-2.282441290855816,-2.4078781368642534,cold_95,cold_95
LK1115060,-1.1535350503105706,-1.2717778264980582,ns,ns
LK1115065,-4.280170565409404,-4.319078222515163,cold_99,cold_99
LK1115070,-2.964613564392983,-2.9988868063019063,cold_99,cold_99
LK1115075,-3.757984363567585,-3.7887944087887897,cold_99,cold_99
LK1115080,-3.0090658044289293,-3.053493208127684,cold_99,cold_99
LK1115085,-3.1624650493859274,-3.1998600963710833,cold_99,cold_99
LK1115090,-2.8132969447010923,-2.83217243534399,cold_95,cold_95
LK1115095,-3.1868745953058184,-3.243285291724692,cold_95,cold_99
LK1115100,-3.3598841544099796,-3.4034350952555896,cold_99,cold_99
LK1115105,-2.6187959191078582,-2.6638837840222203,cold_95,cold_95
LK1115110,-3.236487676952806,-3.2501399628233667,cold_99,cold_99
LK1115115,-2.4954834101631995,-2.5227391701832125,cold_95,cold_95
LK1115120,-3.9350476226355897,-3.958884543065801,cold_99,cold_99
LK1115125,-3.173127006281429,-3.1956653293163173,cold_99,cold_99
LK1115130,-2.9400389382805368,-3.0396442801768075,cold_95,cold_95
