zone_id,scenario,year,projected_lst_c,validated,rank,priority
LK1133015,business_as_usual,2030,39.85685006829436,False,44,True
LK1133020,business_as_usual,2030,39.60334126778198,False,13,True
LK1133025,business_as_usual,2030,39.571457524578996,False,11,True
LK1133030,business_as_usual,2030,38.82151169437286,False,51,True
LK1133035,business_as_usual,2030,38.35690601824271,False,79,False
LK1133040,business_as_usual,2030,39.19888830517367,False,19,True
LK1133045,business_as_usual,2030,39.169049455328434,False,4,True
LK1133050,business_as_usual,2030,38.77931407400887,False,104,False
LK1133055,business_as_usual,2030,38.73203154993699,False,101,False
LK1133060,business_as_usual,2030,38.6117771073741,False,92,False
LK1133065,business_as_usual,2030,38.43932833916853,False,93,False
LK1133070,business_as_usual,2030,39.02809147219481,False,67,False
LK1133075,business_as_usual,2030,39.2348337030143,False,58,True
LK1133080,business_as_usual,2030,39.11190795982599,False,40,True
LK1133085,business_as_usual,2030,39.39327531355232,False,129,False
LK1133090,business_as_usual,2030,38.04317989304079,False,130,False
LK1133095,business_as_usual,2030,39.167474312963165,False,149,False
LK1133100,business_as_usual,2030,39.597958177636144,False,60,True
