zone_id,name,n_bins,n_hot,n_cold,hot_share,cold_share,final_run,mk_tau,mk_z,mk_p,mk_slope,trend,category,reason,noise_sd,detectable_slope,underpowered,status
LK1133120,Uswatta,26,9,0,0.34615384615384615,0.0,0,-0.16307692307692306,-1.1461606390582062,0.2517286908429268,-0.03329308929162902,no trend,no_pattern,hot in only 35% of bins and not in the final bin,1.038830389212152,0.08357178549413914,True,ok
LK1133125,Moratuwella South,26,9,1,0.34615384615384615,0.038461538461538464,0,-0.13846153846153847,-0.9698282330492515,0.3321321174074414,-0.032314695959158916,no trend,no_pattern,hot in only 35% of bins and not in the final bin,1.4544296519518094,0.11700589831744806,True,ok
LK1133130,Indibedda West,26,3,0,0.11538461538461539,0.0,0,-0.10153846153846154,-0.7053296240358192,0.4806051289858302,-0.02013609440016464,no trend,no_pattern,hot in only 12% of bins and not in the final bin,1.2970130558653423,0.10434205430790484,True,ok
LK1133135,Moratumulla East,26,5,0,0.19230769230769232,0.0,0,-0.033846153846153845,-0.22041550751119351,0.8255475691294885,-0.00862956939506766,no trend,no_pattern,hot in only 19% of bins and not in the final bin,1.1678089013172108,0.09394784366391598,True,ok
LK1133140,Moratumulla West,26,5,0,0.19230769230769232,0.0,0,-0.05846153846153846,-0.3967479135201483,0.6915533638570888,-0.016880399783244793,no trend,no_pattern,hot in only 19% of bins and not in the final bin,1.152164411106194,0.09268927634276568,True,ok
LK1133145,Villorawatta East,26,2,2,0.07692307692307693,0.07692307692307693,0,-0.13846153846153847,-0.9698282330492515,0.3321321174074414,-0.03787976298501305,no trend,no_pattern,hot in only 8% of bins and not in the final bin,1.2607947471654293,0.10142836526197195,True,ok
LK1133150,Villorawatta West,26,2,1,0.07692307692307693,0.038461538461538464,0,-0.09538461538461539,-0.6612465225335805,0.5084542305885602,-0.022270230429475114,no trend,no_pattern,hot in only 8% of bins and not in the final bin,1.1148054408604025,0.0896838234025306,True,ok
LK1133155,Indibedda East,26,1,0,0.038461538461538464,0.0,0,-0.20615384615384616,-1.4547423495738772,0.1457406036479898,-0.04782030039940445,no trend,no_pattern,hot in only 4% of bins and not in the final bin,1.184015444964169,0.0952516270373425,True,ok
LK1133160,Moratuwella North,26,8,0,0.3076923076923077,0.0,0,-0.23076923076923078,-1.631074755582832,0.10287454664474693,-0.03701004987347347,no trend,no_pattern,hot in only 31% of bins and not in the final bin,0.9957411683980907,0.0801053455859715,True,ok
LK1133165,Moratuwella West,26,3,0,0.11538461538461539,0.0,0,-0.13846153846153847,-0.9698282330492515,0.3321321174074414,-0.024657614688200092,no trend,no_pattern,hot in only 12% of bins and not in the final bin,0.9045294315307288,0.07276754743606553,True,ok
LK1133170,Koralawella North,26,4,1,0.15384615384615385,0.038461538461538464,0,-0.10153846153846154,-0.7053296240358192,0.4806051289858302,-0.028082671422757048,no trend,no_pattern,hot in only 15% of bins and not in the final bin,1.3233956682328383,0.10646448164969982,True,ok
LK1133175,Koralawella East,26,4,1,0.15384615384615385,0.038461538461538464,0,-0.10153846153846154,-0.7053296240358192,0.4806051289858302,-0.028082671422757048,no trend,no_pattern,hot in only 15% of bins and not in the final bin,1.3233956682328383,0.10646448164969982,True,ok
LK1133180,Koralawella West,26,5,0,0.19230769230769232,0.0,0,-0.1076923076923077,-0.7494127255380579,0.4536084832864735,-0.029817685503480584,no trend,no_pattern,hot in only 19% of bins and not in the final bin,1.2439865961106367,0.1000761837999245,True,ok
LK1133185,Koralawella South,26,4,0,0.15384615384615385,0.0,0,-0.13230769230769232,-0.9257451315470128,0.3545784475977316,-0.024529290742562836,no trend,no_pattern,hot in only 15% of bins and not in the final bin,0.9316797474506961,0.07495173496246474,True,ok
LK1133190,Katukurunda North,26,2,1,0.07692307692307693,0.038461538461538464,0,-0.06461538461538462,-0.44083101502238703,0.6593353383597194,-0.010824066688147367,no trend,no_pattern,hot in only 8% of bins and not in the final bin,0.9374026946367927,0.07541213438820109,True,ok
LK1133195,Katukurunda South,26,1,1,0.038461538461538464,0.038461538461538464,0,-0.021538461538461538,-0.1322493045067161,0.8947871042097533,-0.00553970206456667,no trend,no_pattern,hot in only 4% of bins and not in the final bin,1.1431000733568693,0.09196006886298884,True,ok
LK1133200,Egoda Uyana North,26,1,1,0.038461538461538464,0.038461538461538464,0,-0.06461538461538462,-0.44083101502238703,0.6593353383597194,-0.011861715744668155,no trend,no_pattern,hot in only 4% of bins and not in the final bin,1.2195938706089564,0.098113838796916,True,ok
LK1133205,Egoda Uyana Central,26,1,1,0.038461538461538464,0.038461538461538464,0,-0.14461538461538462,-1.01391133455149,0.31062506239573384,-0.028335546721538794,no trend,no_pattern,hot in only 4% of bins and not in the final bin,1.0633304716640768,0.08554276714477588,True,ok
LK1133210,Egoda Uyana South,26,2,1,0.07692307692307693,0.038461538461538464,0,-0.18153846153846154,-1.2784099435649223,0.20110491981248035,-0.02844049669637901,no trend,no_pattern,hot in only 8% of bins and not in the final bin,0.8283224852203147,0.06663685407519132,True,ok
LK1136005,Pepiliyana West,26,25,0,0.9615384615384616,0.0,17,0.08307692307692308,0.5730803195291031,0.5665903119394651,0.006517626589882684,no trend,persistent_hot_spot,hot in 96% of bins with no significant trend,0.4473920804244978,0.03599178014552388,False,ok
LK1136010,Pepiliyana East,26,23,0,0.8846153846153846,0.0,14,0.20615384615384616,1.4547423495738772,0.1457406036479898,0.020847686508247015,no trend,sporadic_hot_spot,"on and off hot in 88% of bins, never the opposite",0.4210181921278183,0.03387005463742811,False,ok
LK1136015,Divulpitiya East,26,14,0,0.5384615384615384,0.0,3,0.19384615384615383,1.3665761465693997,0.17175819814532312,0.02365826184325731,no trend,sporadic_hot_spot,"on and off hot in 54% of bins, never the opposite",0.5479238778522151,0.044079358153653984,False,ok
LK1136020,Divulpitiya West,26,10,0,0.38461538461538464,0.0,1,0.1076923076923077,0.7494127255380579,0.4536084832864735,0.012698469151238853,no trend,sporadic_hot_spot,"on and off hot in 38% of bins, never the opposite",0.5618304251802707,0.045198111515447496,False,ok
LK1136025,Bellanvila,26,12,0,0.46153846153846156,0.0,1,-0.10153846153846154,-0.7053296240358192,0.4806051289858302,-0.017070132674832043,no trend,sporadic_hot_spot,"on and off hot in 46% of bins, never the opposite",0.7214474532905927,0.058038975792208264,False,ok
LK1136030,Boralesgamuwa West A,26,0,0,0.0,0.0,0,-0.13230769230769232,-0.9257451315470128,0.3545784475977316,-0.02345748625171049,no trend,no_pattern,never significantly hot or cold,0.9413770074691811,0.07573185974757074,True,ok
LK1136035,Boralesgamuwa West C,26,1,0,0.038461538461538464,0.0,0,-0.046153846153846156,-0.3085817105156709,0.7576397352113808,-0.009969817491238308,no trend,no_pattern,hot in only 4% of bins and not in the final bin,0.8212502952286318,0.06606791081833592,True,ok
LK1136040,Rattanapitiya,26,2,0,0.07692307692307693,0.0,1,0.015384615384615385,0.0881662030044774,0.9297445787752687,0.0033547031297453604,no trend,sporadic_hot_spot,"on and off hot in 8% of bins, never the opposite",0.80322517642355,0.06461782678351373,False,ok
LK1136045,Egodawatta,26,4,0,0.15384615384615385,0.0,1,0.07692307692307693,0.5289972180268644,0.5968073797467659,0.014274282209044697,no trend,sporadic_hot_spot,"on and off hot in 15% of bins, never the opposite",0.8527443867824918,0.0686015462327447,False,ok
LK1136050,Boralesgamuwa East A,26,0,2,0.0,0.07692307692307693,0,-0.16923076923076924,-1.190243740560445,0.23395060590621997,-0.03939975680909693,no trend,no_pattern,cold in only 8% of bins and not in the final bin,1.062804989368288,0.08550049316611616,True,ok
LK1136055,Boralesgamuwa West B,26,0,0,0.0,0.0,0,-0.18769230769230769,-1.322493045067161,0.18600402378747005,-0.04066168374416743,no trend,no_pattern,never significantly hot or cold,0.9730208216354359,0.07827754004069756,True,ok
LK1136060,Werahera North,26,0,4,0.0,0.15384615384615385,0,-0.28,-1.9837395676007417,0.04728488016768839,-0.057887937542699636,decreasing,no_pattern,cold in only 15% of bins and not in the final bin,1.1489922841304168,0.09243408519902095,True,ok
LK1136065,Boralesgamuwa East B,26,0,3,0.0,0.11538461538461539,0,-0.21846153846153846,-1.5429085525783546,0.12285296541157709,-0.04520140215942446,no trend,no_pattern,cold in only 12% of bins and not in the final bin,1.0865523779157422,0.08741092212770915,True,ok
LK1136070,Neelammahara,26,0,8,0.0,0.3076923076923077,0,-0.2676923076923077,-1.8955733645962642,0.058016482085702537,-0.07206285716061506,no trend,no_pattern,cold in only 31% of bins and not in the final bin,1.0730247699683664,0.08632265366601706,True,ok
LK1136075,Katuwawala North,26,0,7,0.0,0.2692307692307692,0,-0.3046153846153846,-2.1600719736096963,0.030767098256619496,-0.0785327779526583,decreasing,no_pattern,cold in only 27% of bins and not in the final bin,1.166520119657975,0.09384416380867405,True,ok
LK1136080,Vishwakalawa,26,0,9,0.0,0.34615384615384615,0,-0.19384615384615383,-1.3665761465693997,0.17175819814532312,-0.045887005652995305,no trend,no_pattern,cold in only 35% of bins and not in the final bin,0.8339743598359703,0.06709153585763086,True,ok
LK1136085,Werahera South,26,0,5,0.0,0.19230769230769232,0,-0.26153846153846155,-1.8514902630940255,0.06409905424175921,-0.06697043150724169,no trend,no_pattern,cold in only 19% of bins and not in the final bin,1.0764170614405997,0.08659555659434406,True,ok
LK1136090,Katuwawala South,26,0,8,0.0,0.3076923076923077,0,-0.26153846153846155,-1.8514902630940255,0.06409905424175921,-0.0613527756977184,no trend,no_pattern,cold in only 31% of bins and not in the final bin,1.0814341109067658,0.08699916798861403,True,ok
LK1136095,Niwanthidiya,26,0,11,0.0,0.4230769230769231,0,-0.16923076923076924,-1.190243740560445,0.23395060590621997,-0.054163634401498774,no trend,no_pattern,cold in only 42% of bins and not in the final bin,1.154188854278771,0.0928521386659328,True,ok
LK1136100,Erewwala West,26,0,8,0.0,0.3076923076923077,0,-0.2123076923076923,-1.4988254510761159,0.13391892014731077,-0.06288531251581728,no trend,no_pattern,cold in only 31% of bins and not in the final bin,1.2940265337117247,0.10410179469345045,True,ok
LK1136105,Erewwala North,26,0,8,0.0,0.3076923076923077,0,-0.2676923076923077,-1.8955733645962642,0.058016482085702537,-0.07231159783007113,no trend,no_pattern,cold in only 31% of bins and not in the final bin,1.0180615055975089,0.08190097117794258,True,ok
LK1136110,Erewwala East,26,0,3,0.0,0.11538461538461539,0,-0.2923076923076923,-2.071905770605219,0.03827422971644756,-0.06084246393925193,decreasing,no_pattern,cold in only 12% of bins and not in the final bin,0.6726721950547403,0.054115105773543025,False,ok
LK1136115,Rathmaldeniya,26,0,7,0.0,0.2692307692307692,0,-0.2923076923076923,-2.071905770605219,0.03827422971644756,-0.04997360720727154,decreasing,no_pattern,cold in only 27% of bins and not in the final bin,0.8922610358799898,0.07178058003471874,True,ok
LK1136120,Mahalwarawa,26,0,3,0.0,0.11538461538461539,0,-0.2123076923076923,-1.4988254510761159,0.13391892014731077,-0.027538381022152534,no trend,no_pattern,cold in only 12% of bins and not in the final bin,0.6609096290359668,0.05316883133414479,True,ok
LK1136125,Bangalawatta,26,0,0,0.0,0.0,0,-0.13846153846153847,-0.9698282330492515,0.3321321174074414,-0.011623629587781127,no trend,no_pattern,never significantly hot or cold,0.5360205102424443,0.04312175651350935,True,ok
LK1136130,Pelenwatta East,26,0,7,0.0,0.2692307692307692,0,-0.16307692307692306,-1.1461606390582062,0.2517286908429268,-0.03288277307960241,no trend,no_pattern,cold in only 27% of bins and not in the final bin,0.947082717205529,0.07619087245564093,True,ok
LK1136135,Pelenwatta North,26,0,7,0.0,0.2692307692307692,0,-0.2,-1.4106592480716384,0.15834511256712158,-0.043121687322386575,no trend,no_pattern,cold in only 27% of bins and not in the final bin,0.9765478309667761,0.07856128074595181,True,ok
LK1136140,Pelenwatta West,26,0,6,0.0,0.23076923076923078,0,-0.23076923076923078,-1.631074755582832,0.10287454664474693,-0.05538833091685516,no trend,no_pattern,cold in only 23% of bins and not in the final bin,1.1898966039579033,0.09572475428023537,True,ok
