zone_id,wetland_within_pct,adjacent_within_250m,adjacent_within_500m,adjacent_within_1000m,adjacent_queen,wetland_status,wetland_policy_flag,adjacency_disagreement,dw_flooded_vegetation_pct,worldcover_wetland_pct,gsw_seasonal_pct,wdpa_pct,wetland_sources
LK1124035,21.134694698722463,False,False,False,False,within,True,False,0.0,0.5130268584649431,0.0905341514938135,20.581430439593603,wdpa
LK1124040,95.11068641503424,False,False,False,False,within,True,False,0.0,0.06370441153049848,0.1433349259436216,95.11068641503424,wdpa
LK1124045,97.2912495583559,False,False,False,False,within,True,False,0.0,0.7301849016605818,2.061005770816158,96.93793428335886,gsw_seasonal;wdpa
LK1124050,100.0,False,False,False,False,within,True,False,0.0,0.603749602796314,3.408007626310772,100.0,gsw_seasonal;wdpa
LK1124055,58.331911990448575,False,False,False,False,within,True,False,0.0,0.0,0.0,58.331911990448575,wdpa
LK1124060,92.35068493150685,False,False,False,False,within,True,False,0.0,0.6684931506849315,0.4602739726027397,92.35068493150685,wdpa
LK1124065,16.229229607250755,False,False,False,False,within,True,False,0.0,1.5200151057401812,0.00944108761329305,15.87046827794562,worldcover_wetland;wdpa
LK1124070,0.2801120448179272,True,True,True,True,adjacent,True,False,0.0,0.03232062055591468,0.2477914242620125,0.0,
LK1124075,19.227923038973852,False,False,False,False,within,True,False,0.0,0.1110014800197336,0.9990133201776024,18.53724716329551,wdpa
LK1124080,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1124085,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1124090,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1124095,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1124100,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1127005,1.1333914559721012,False,False,False,False,within,True,False,0.0,0.0,1.1583011583011582,0.0,gsw_seasonal
LK1127010,0.19023926245701325,True,True,True,True,adjacent,True,False,0.0,0.0,0.21218994658666862,0.0,
LK1127015,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1127020,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1127025,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1127030,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1127035,0.15422578655151142,True,True,True,True,adjacent,True,False,0.0,0.12338062924120913,0.030845157310302282,0.0,
LK1127040,0.18460940536338905,True,True,True,True,adjacent,True,False,0.0,0.0,0.18460940536338905,0.0,
LK1127045,0.19838242026552724,True,True,True,True,adjacent,True,False,0.0,0.0,0.19838242026552724,0.0,
LK1127050,0.06653992395437262,True,True,True,True,adjacent,True,False,0.0,0.0,0.06653992395437262,0.0,
LK1127055,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1127060,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1127065,0.11685655857434998,False,False,False,False,neither,False,False,0.0,0.0,0.14607069821793747,0.0,
LK1127070,0.05148005148005148,False,False,False,False,neither,False,False,0.0,0.0,0.05148005148005148,0.0,
LK1127075,0.032874910963782804,True,True,True,True,adjacent,True,False,0.0,0.0,0.032874910963782804,0.0,
LK1127080,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1127085,0.301737592342108,False,False,False,False,neither,False,False,0.0,0.14566642388929352,0.1560711684528145,0.0,
LK1127090,0.09499683343888538,False,False,False,False,neither,False,False,0.0,0.0,0.26915769474350854,0.0,
LK1127095,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1127100,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1130005,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1130010,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1130015,0.0,False,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1130020,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
