zone_id,value,spatial_lag,local_i,z_score,p_norm,p_sim,p_adjusted,significant,quadrant,cluster
LK1109260,37.39880526017512,39.27808926515695,0.0844557646810491,1.5525412791546667,0.12053276363592223,0.061,0.10995792880258899,False,1,ns
LK1109265,37.69894650237245,38.384979168473066,0.10099193979938553,1.3856559351483295,0.16585198950832358,0.093,0.1475811965811966,False,1,ns
LK1109270,38.972041570997504,38.3683297092428,0.3144117433909283,1.0230104200146863,0.3063029191257458,0.152,0.2090469135802469,False,1,ns
LK1109275,37.113229691274206,36.6990726357284,-0.0002857485724966684,-0.2932020115176163,0.7693677466552814,0.381,0.4202316831683169,False,4,ns
LK1109280,35.740692432981874,36.57968536852026,0.09667908717028033,0.533612688295923,0.5936095278678126,0.308,0.3574083333333334,False,3,ns
LK1109285,35.82869888759964,35.95165312567371,0.19798439484164487,1.2886061669134354,0.1975350383925154,0.093,0.1475811965811966,False,3,ns
LK1112005,35.49994101466785,34.91757839103457,0.4714087413494881,2.1277655124398427,0.033356530110682896,0.012,0.03228985507246377,True,3,LL
LK1112010,34.99911843166665,34.84459089430422,0.6388260057610856,1.0896069124762302,0.27588633681748065,0.147,0.20624433249370275,False,3,ns
LK1112015,34.1892407739406,34.98473220020319,0.8294114017628839,1.734982821756239,0.08274384793906375,0.042,0.08295744680851065,False,3,ns
LK1112020,34.56046626258098,34.49082480811537,0.892317789628728,2.1341002228265507,0.032834577656441176,0.017,0.04208444444444445,True,3,LL
LK1112025,34.727185488165425,34.71846200337191,0.7613889180552162,1.9485639003036996,0.051347526755555095,0.027,0.05851750972762646,False,3,ns
LK1112030,35.13694980393504,34.84971925852963,0.5957212332046601,2.0391624307176004,0.04143381907965712,0.018,0.043591304347826085,True,3,LL
LK1112035,35.184588275658605,35.06086765387985,0.526969961882923,1.8508937472322804,0.06418484047963322,0.036,0.07426666666666666,False,3,ns
LK1112040,35.09890426120394,35.04949288640562,0.5535037826342808,1.6783630659937427,0.09327624322700517,0.046,0.08896527777777778,False,3,ns
LK1112045,34.94574710923584,34.85220361734544,0.6527902841001177,2.490763112231137,0.012746907591951365,0.006,0.018670391061452515,True,3,LL
LK1112050,34.66422789350881,35.583689383853816,0.4985423653624486,1.2455768679422552,0.21291977904212545,0.111,0.16755284552845529,False,3,ns
LK1112055,34.568480579854835,35.320225744417954,0.6076194858814182,1.4597118391158892,0.14436928673542815,0.079,0.13253915662650603,False,3,ns
LK1112060,35.50716676804786,35.561695317221336,0.33129113946372574,1.506767218507314,0.13187033498258027,0.065,0.11530254777070063,False,3,ns
LK1112065,34.481419703492286,35.67466233039408,0.5038568159159871,1.401968822320967,0.16092455708470355,0.079,0.13253915662650603,False,3,ns
LK1112070,35.75826676335825,35.214469195207286,0.3420495052207015,1.9645090240237075,0.04947109081443892,0.021,0.048535269709543576,True,3,LL
LK1112075,34.76645702633335,35.07191250392164,0.6380664582360134,1.660643935517965,0.09678497948322194,0.046,0.08896527777777778,False,3,ns
LK1112080,34.31507413699197,34.65635661697417,0.9163966342085933,2.7081618004650267,0.006765702904200782,0.002,0.008841269841269843,True,3,LL
LK1112085,34.606433522993726,34.80375359338817,0.7714503832515157,2.2358765932164504,0.025359855949678503,0.01,0.028274111675126903,True,3,LL
LK1112090,35.37444785543396,34.94182660862408,0.5025715721434536,1.7638153068732125,0.07776307954805378,0.038,0.07753113553113554,False,3,ns
LK1112095,35.87950771178306,35.48480485533132,0.2668777807171565,1.322057940651604,0.18614885781539126,0.095,0.149056338028169,False,3,ns
LK1112100,35.63339000690543,35.66811334393863,0.284167570454989,1.3086786521060134,0.19064322598995076,0.097,0.15176685393258427,False,3,ns
LK1112105,36.89965369222418,35.772617793840546,0.03723710815166447,1.390004292942599,0.16452757375740534,0.079,0.13253915662650603,False,3,ns
LK1112110,36.650018607860375,35.68581963618338,0.08717203241727256,1.157106964453864,0.24722866162702917,0.122,0.1802493368700265,False,3,ns
LK1112115,34.63573019276302,36.239705308468764,0.28729808255576894,0.7123205370125729,0.47626630953014537,0.246,0.3038181818181818,False,3,ns
LK1112120,35.79392950611988,36.0202997585985,0.19129255452420457,0.9933295079891528,0.3205494019520728,0.165,0.22253026634382567,False,3,ns
LK1112125,35.80434064289144,36.81164018776413,0.051708597742464335,0.28872651473047195,0.7727906706043298,0.403,0.43502131782945735,False,3,ns
LK1112130,36.97530220570177,36.849197336098754,0.00459662148736044,0.21474485705118931,0.8299662474718842,0.425,0.4500475285171103,False,3,ns
LK1112135,36.851500774095406,36.152470370387505,0.03280292173738691,0.9394221379206207,0.3475140512498658,0.183,0.241542654028436,False,3,ns
LK1112140,36.026225848539724,36.04520354130062,0.15387127910404022,0.7614515760907367,0.4463873915338691,0.218,0.27786270022883297,False,3,ns
LK1112145,36.39549044902026,35.64573165343267,0.13944066968179786,1.193133108273763,0.23281724685276806,0.117,0.17424866310160428,False,3,ns
LK1112150,35.883420668590674,35.21167758403634,0.31079071224648613,1.54708649239038,0.12184239064886039,0.067,0.11847301587301588,False,3,ns
LK1112155,35.667527134309964,35.22724987450669,0.3625806895913196,1.7015316862489918,0.08884319304363245,0.047,0.08996219931271478,False,3,ns
LK1112160,35.262901593443104,34.9822751806291,0.524921393293463,1.9213678061850954,0.0546853542579488,0.025,0.054607843137254905,False,3,ns
LK1112165,34.31634852647557,34.067765483062274,1.1358860603590692,3.1481920017417773,0.001642837475726393,0.001,0.005460784313725491,True,3,LL
LK1112170,34.17062728120315,34.36279339502941,1.0791967890947087,2.8458374229458574,0.004429480322618519,0.002,0.008841269841269843,True,3,LL
LK1112175,34.40877522866192,35.03390243439893,0.7492648077097921,1.694766821094508,0.090119663896685,0.047,0.08996219931271478,False,3,ns
LK1112180,34.46918783852132,35.10782444579139,0.7063887789421708,1.9450654495847073,0.05176710158121295,0.021,0.048535269709543576,True,3,LL
LK1112185,34.37492595541701,35.55455300995083,0.5682186987081538,1.4130657350971074,0.15763639695362308,0.077,0.13075914634146343,False,3,ns
LK1112190,36.60176493568975,35.738900554062056,0.09276009966369025,1.3356158800775404,0.18167485694914176,0.091,0.1456522988505747,False,3,ns
LK1112195,37.52260686916018,36.82254495848544,-0.015839526665393927,-0.23603930929047703,0.8134021674228609,0.414,0.4409139579349904,False,4,ns
LK1112200,36.02658657518995,36.20950341157356,0.13004081870926992,0.8258412682413839,0.4088941406236828,0.212,0.2727113163972286,False,3,ns
LK1112205,36.47785582709746,36.14984361922712,0.08080719469177813,0.7841054000873746,0.43297826706701636,0.221,0.2804031890660592,False,3,ns
LK1112210,36.3703366299202,36.29528513656547,0.08023612840131988,0.5834052507892988,0.5596205239088522,0.271,0.32531681034482757,False,3,ns
LK1112215,36.58645201575782,36.4477862035455,0.046084571558875395,0.6126200931743161,0.5401275691537897,0.275,0.3279978586723769,False,3,ns
