zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1112260,35.997135172159105,-2.015533720696758,0.043848756525917125,0.024,0.05368674698795181,False,cold_90
LK1112265,35.459062596948904,-2.113662244094727,0.03454412543096422,0.023,0.052077235772357726,False,cold_90
LK1112270,34.79975679552553,-2.5509092007726886,0.010744231336550857,0.002,0.009858407079646019,True,cold_99
LK1112275,35.43291590823079,-2.8253703323912815,0.004722599827290287,0.002,0.009858407079646019,True,cold_99
LK1112280,35.312851146026155,-2.374754014343277,0.017560648701528438,0.007,0.021075675675675677,True,cold_95
LK1112285,34.92732303567127,-2.446086312940198,0.014441642277546995,0.009,0.025576530612244897,True,cold_95
LK1112290,35.268297238362585,-2.4821807424662405,0.013058102235736951,0.006,0.018988636363636364,True,cold_95
LK1112295,34.6973521255589,-2.7767318975985193,0.00549084501501771,0.003,0.011767605633802818,True,cold_95
LK1112300,35.49827627853116,-2.398123738142556,0.016479297298321205,0.003,0.011767605633802818,True,cold_95
LK1112305,36.25805829458098,-1.4038313419009958,0.16036907857048277,0.096,0.15062535211267605,False,ns
LK1112310,38.94966123992451,0.4794091111486136,0.6316476130127678,0.376,0.4147168316831683,False,ns
LK1112315,36.08723809161097,-1.5221004671570637,0.12798390897422887,0.086,0.13924999999999998,False,ns
LK1112320,35.858212153586344,-1.621560098769522,0.10489757201116369,0.068,0.11762732919254659,False,ns
LK1112325,35.84335889595146,-1.20643981044128,0.22764795376116642,0.151,0.2162133676092545,False,ns
LK1112330,35.45277638306525,-1.863139043446987,0.062442706338647,0.046,0.08896527777777778,False,cold_90
LK1112335,35.92635918761613,-1.9398760857547985,0.05239475103118774,0.031,0.06418959107806692,False,cold_90
LK1112340,35.656938136912224,-2.532818300180813,0.011314958808687941,0.003,0.011767605633802818,True,cold_95
LK1112345,34.73389269959908,-2.4800302461730754,0.013137123843606217,0.007,0.021075675675675677,True,cold_95
LK1112350,35.48657021748278,-2.4465372796726395,0.014423588019496865,0.005,0.016577380952380955,True,cold_95
LK1112355,35.47797658530498,-2.6250036105294248,0.00866480484439641,0.002,0.009858407079646019,True,cold_99
LK1112360,34.93744586707276,-1.9783820047892475,0.047885628246793786,0.05,0.09440677966101696,False,cold_90
