zone_id,gi_star_hot_rank,lst_2020s_rank,ndvi_inverse_rank,score,rank,priority
LK1106025,0.8043087971274686,0.6606822262118492,0.703770197486535,0.7267504488330343,156,False
LK1121010,0.7863554757630161,0.725314183123878,0.59245960502693,0.7231597845601436,157,False
LK1121110,0.7145421903052065,0.7307001795332136,0.7127468581687613,0.7206463195691204,158,False
LK1136015,0.718132854578097,0.6929982046678635,0.7791741472172352,0.7202872531418313,159,False
LK1106085,0.8061041292639138,0.6876122082585279,0.6122082585278277,0.7199281867145422,160,False
LK1124035,0.7414721723518851,0.7055655296229802,0.6947935368043088,0.717773788150808,161,False
LK1109255,0.6876122082585279,0.7450628366247756,0.7109515260323159,0.7152603231597847,162,False
LK1106225,0.6894075403949731,0.7594254937163375,0.6786355475763016,0.7152603231597846,163,False
LK1133180,0.6157989228007181,0.7235188509874326,0.8940754039497307,0.7145421903052065,164,False
LK1112235,0.5727109515260324,0.8348294434470377,0.7576301615798923,0.7145421903052065,165,False
LK1109150,0.7504488330341114,0.718132854578097,0.6229802513464991,0.7120287253141832,166,False
LK1109250,0.6391382405745063,0.7827648114901257,0.7091561938958707,0.7105924596050269,167,False
LK1136215,0.5798922800718133,0.8276481149012568,0.7360861759425493,0.710233393177738,168,False
LK1136045,0.7666068222621185,0.6858168761220825,0.6463195691202872,0.7102333931777379,169,False
LK1106045,0.7001795332136446,0.7001795332136446,0.7396768402154399,0.7080789946140036,170,False
LK1121100,0.8114901256732495,0.6840215439856373,0.5206463195691203,0.7023339317773788,171,False
LK1127050,0.7576301615798923,0.6427289048473968,0.6983842010771992,0.6998204667863555,172,False
LK1106140,0.6678635547576302,0.7612208258527827,0.6337522441651705,0.6983842010771993,173,False
LK1103125,0.6660682226211849,0.585278276481149,0.9892280071813285,0.6983842010771993,174,False
LK1124065,0.7396768402154399,0.6714542190305206,0.6696588868940754,0.6983842010771993,175,False
LK1121095,0.7630161579892281,0.6786355475763016,0.6068222621184919,0.6980251346499103,176,False
LK1106050,0.7342908438061041,0.6409335727109515,0.7163375224416517,0.6933572710951527,177,False
LK1121175,0.6570915619389587,0.7648114901256733,0.5960502692998204,0.6879712746858169,178,False
LK1133130,0.6247755834829444,0.7109515260323159,0.7450628366247756,0.6833034111310593,179,False
LK1124010,0.748653500897666,0.6211849192100538,0.6642728904847397,0.680789946140036,180,False
LK1106060,0.6535008976660682,0.696588868940754,0.6858168761220825,0.6771992818671455,181,False
LK1133175,0.6328545780969479,0.6732495511669659,0.7737881508078994,0.6771992818671455,182,False
LK1121105,0.6696588868940754,0.6947935368043088,0.6552962298025135,0.6768402154398564,183,False
LK1124050,0.7055655296229802,0.7145421903052065,0.5403949730700179,0.6761220825852784,184,False
LK1133185,0.5745062836624776,0.6822262118491921,0.8635547576301615,0.6754039497307003,185,False
LK1106080,0.6427289048473968,0.7271095152603232,0.6355475763016158,0.6750448833034113,186,False
LK1106185,0.7899461400359067,0.5816876122082585,0.6247755834829444,0.6736086175942549,187,False
LK1124040,0.7091561938958707,0.6624775583482945,0.6140035906642729,0.6714542190305206,188,False
LK1109245,0.7019748653500898,0.6355475763016158,0.6804308797127468,0.6710951526032316,189,False
LK1106055,0.6768402154398564,0.6660682226211849,0.6660682226211849,0.6703770197486535,190,False
LK1124045,0.6463195691202872,0.6894075403949731,0.6750448833034112,0.6692998204667864,191,False
LK1109270,0.6409335727109515,0.7019748653500898,0.6265709156193896,0.6624775583482945,192,False
LK1124030,0.7612208258527827,0.5547576301615799,0.6768402154398564,0.6617594254937165,193,False
LK1106020,0.6193895870736086,0.6696588868940754,0.7289048473967684,0.6614003590664274,194,False
LK1109170,0.6840215439856373,0.6104129263913824,0.7055655296229802,0.6588868940754039,195,False
LK1106040,0.7127468581687613,0.5655296229802513,0.7217235188509874,0.6556552962298026,196,False
LK1109155,0.6947935368043088,0.6678635547576302,0.5224416517055656,0.6495511669658888,197,False
LK1133190,0.5529622980251346,0.6283662477558348,0.8707360861759426,0.6466786355475763,198,False
LK1121165,0.6140035906642729,0.6804308797127468,0.6409335727109515,0.6459605026929983,199,False
LK1106210,0.6499102333931778,0.6319569120287253,0.6606822262118492,0.6448833034111312,200,False
LK1136020,0.6373429084380611,0.5834829443447038,0.7827648114901257,0.6448833034111311,201,False
LK1136075,0.6606822262118492,0.6391382405745063,0.6175942549371634,0.6434470377019749,202,False
LK1136235,0.5942549371633752,0.6983842010771992,0.6319569120287253,0.6434470377019749,203,False
LK1133195,0.5206463195691203,0.6552962298025135,0.8545780969479354,0.6412926391382406,204,False
LK1109265,0.6624775583482945,0.6140035906642729,0.6373429084380611,0.6380610412926392,205,False
LK1136065,0.6750448833034112,0.6229802513464991,0.5637342908438061,0.6319569120287254,206,False
LK1121080,0.6283662477558348,0.6157989228007181,0.6535008976660682,0.6283662477558348,207,False
LK1131030,0.6732495511669659,0.6032315978456014,0.5816876122082585,0.6269299820466787,208,False
LK1109235,0.6552962298025135,0.578096947935368,0.6624775583482945,0.6258527827648115,209,False
LK1136220,0.6086175942549371,0.6373429084380611,0.6283662477558348,0.6240574506283663,210,False
LK1106170,0.6265709156193896,0.6481149012567325,0.5691202872531418,0.6236983842010773,211,False
LK1136070,0.6481149012567325,0.6337522441651705,0.5493716337522442,0.6226211849192101,212,False
LK1109260,0.6786355475763016,0.6588868940754039,0.42908438061041293,0.6208258527827648,213,False
LK1136080,0.5978456014362658,0.6642728904847397,0.5727109515260324,0.6193895870736087,214,False
LK1136040,0.6032315978456014,0.6068222621184919,0.6732495511669659,0.6186714542190306,215,False
LK1136025,0.6588868940754039,0.5978456014362658,0.578096947935368,0.6183123877917415,216,False
LK1136225,0.5655296229802513,0.6535008976660682,0.6427289048473968,0.6161579892280071,217,False
LK1121155,0.5439856373429084,0.6499102333931778,0.6894075403949731,0.6154398563734291,218,False
