zone_id,beta_intercept,t_intercept,sig_intercept,beta_NDVI,t_NDVI,sig_NDVI,beta_NDBI,t_NDBI,sig_NDBI,beta_built_fraction,t_built_fraction,sig_built_fraction,beta_pop_density,t_pop_density,sig_pop_density,beta_elevation_m,t_elevation_m,sig_elevation_m,beta_dist_coast_km,t_dist_coast_km,sig_dist_coast_km,local_r2
LK1118160,-0.06324759489359125,-1.877470749620439,False,0.20546170659531487,2.961140423140973,False,0.7315237723181909,6.197907678156781,True,0.3203224419239992,8.351932899353347,True,-0.0016584889393990586,-0.06068926576515678,False,-0.06273843823073974,-0.6294626408655879,False,-0.1370845458274371,-5.68029738468561,True,
LK1118165,-0.06319078633224451,-1.8744987521864307,False,0.21305158701143692,3.0809991786635123,True,0.6934656651893257,6.122127281271936,True,0.31944923023110045,8.325698409536772,True,-0.0016720027628186812,-0.06132939795822992,False,-0.03523026875361265,-0.3561563672469282,False,-0.13649019327520756,-5.634289973434126,True,
LK1118170,-0.06323952848124326,-1.8747077308518671,False,0.2199197913183941,3.1884055720305824,True,0.6733447107496846,6.147788904220124,True,0.3184152242945898,8.286748895455219,True,-0.0016722062893037284,-0.0616683566689207,False,-0.014841209972637801,-0.14632128213591875,False,-0.137069796528746,-5.6731795118772155,True,
LK1118175,-0.06332678066932912,-1.8783811089713902,False,0.2110419542120199,3.048149906905995,True,0.6771888931693992,6.177769261623021,True,0.32033582846119324,8.34739757056812,True,-0.0007251894846273303,-0.026619207925714934,False,-0.029377801698532435,-0.2940258951994668,False,-0.13766451328568002,-5.71014141176073,True,
LK1118180,-0.06346598137670749,-1.8842884919267473,False,0.19982641460514047,2.8702957219477225,False,0.6907537166169468,6.544361983682979,True,0.32261168457420486,8.414298216754403,True,0.0006083072620598632,0.02221284421692957,False,-0.04413757076722775,-0.4427763117021524,False,-0.13878351078657558,-5.753351976059459,True,
LK1118185,-0.06365926723476148,-1.894153287390078,False,0.18478078467589534,2.6304788803866144,False,0.6882641197180703,7.0931063777412175,True,0.32623971229588794,8.513818272542286,True,0.002955360773022602,0.10699458390596309,False,-0.11334997088333255,-2.240137605165218,False,-0.13992391479229566,-5.787710358168228,True,
LK1118190,-0.06367277044734393,-1.8967093363114331,False,0.18056176653803088,2.5636345553624684,False,0.6855266058358018,7.0618457685805,True,0.32708765916861254,8.53684371679865,True,0.003119576659422494,0.11260534054159607,False,-0.11899313075504064,-2.8445227083507483,False,-0.13905919883504714,-5.755434382014837,True,
LK1118195,-0.06368523582826917,-1.8950457162431211,False,0.1840253906809889,2.617510976450803,False,0.7034776474648331,7.559541543877019,True,0.3265138079857686,8.518686223445727,True,0.0033166922807817928,0.12004201063321004,False,-0.1171730614388559,-2.5240677925369184,False,-0.1410273564994946,-5.8292536213474495,True,
LK1118200,-0.06369775519488317,-1.8939484094115453,False,0.18712217484050922,2.665613538539253,False,0.7137041187586037,7.704680553291762,True,0.3258760134598524,8.498027349391107,True,0.0031500826835518508,0.11438043061814149,False,-0.11410521029168189,-2.4106742228600817,False,-0.1419872846624581,-5.8551579989285205,True,
LK1118205,-0.06370413984053025,-1.8955014658144764,False,0.18380099664476007,2.613075356176473,False,0.712856609623248,7.71722514437024,True,0.3265656710250386,8.51761247920936,True,0.003313676104650954,0.12003279049286318,False,-0.11947879680033467,-2.765147074200365,False,-0.14150324203982637,-5.848960360175467,True,
LK1118210,-0.0636629840081221,-1.8980176209106543,False,0.1784825753582982,2.530449633900665,False,0.6933636920868604,7.300840965264409,True,0.32768569536442177,8.552801920477977,True,0.0030933760520705646,0.11144962015986193,False,-0.12307019504521435,-3.7128570305587534,True,-0.1381857066253262,-5.729217582723001,True,
LK1118215,-0.06360900028026517,-1.8992466008744446,False,0.17617361116790953,2.493900434220444,False,0.7116113707007612,7.552365511640253,True,0.32824577499287516,8.568167674743597,True,0.002688289642044071,0.0965987133852098,False,-0.10776757528996474,-5.491067059389291,True,-0.13282281218148992,-5.598948637219132,True,
LK1118220,-0.06349330841475842,-1.8986073147502265,False,0.17425570581032318,2.4636195352117274,False,0.7249969638089759,7.826378070720793,True,0.32884976235098073,8.58491250771717,True,0.00222342604253216,0.07970182558372535,False,-0.09840967841370743,-6.340700966624628,True,-0.12096255693923286,-5.306637436141638,True,
LK1118225,-0.06344765550652562,-1.8978983407230887,False,0.17384261478944785,2.4566619647363805,False,0.7302368752772967,8.003603956820456,True,0.32908145317149645,8.590346240533531,True,0.0024639878833397294,0.08817332924580329,False,-0.09458642153965985,-5.984687004299683,True,-0.12024120982592965,-5.334011105686564,True,
LK1118230,-0.06333789505964892,-1.8965823210758306,False,0.17302426057839634,2.443971810244177,False,0.7222513980129901,7.881672962861082,True,0.32932248997632285,8.59747971061033,True,0.001765671474168293,0.06315670067490377,False,-0.086840081443981,-5.786690387348715,True,-0.0994306550809257,-4.62488216024956,True,
LK1121005,-0.06154519504403677,-1.8196117289358515,False,0.5800522016943808,6.4714067580832,True,1.3671723069268444,11.415225872606758,True,0.22507249663640727,5.130146170290112,True,-0.07671907729010215,-3.2109391337547386,True,-0.6055645458768147,-5.0927905926875825,True,-0.18527831784331228,-3.5267963269100946,True,
LK1121010,-0.06153867921097729,-1.8196779401585528,False,0.5786639419477574,6.448282207895735,True,1.3861491012401057,11.86893909465845,True,0.2257978559648354,5.155521767430758,True,-0.07686895125152761,-3.2117877070506506,True,-0.6359442971256225,-5.635441614783606,True,-0.202996577178566,-3.7816650747432923,True,
LK1121015,-0.061540668600600604,-1.820138338257059,False,0.5652776167750638,6.364167769119059,True,1.202622328289394,8.793360492328734,True,0.2276714854050846,5.211462695032727,True,-0.07623134347457414,-3.189061023047518,True,-0.5070563555612362,-4.061836879266119,True,-0.19236310640947468,-3.59074530529659,True,
LK1121020,-0.06155931588512779,-1.8211064801692316,False,0.534406536952509,6.206360066915999,True,1.0981377539240433,6.985350708045166,True,0.23220720971514505,5.3517245064259376,True,-0.07438621829262408,-3.1213447676630324,True,-0.16368326799163796,-1.14267568921239,False,-0.14899311709401153,-2.8991041846375394,False,
LK1121025,-0.06155178240510232,-1.821325291261346,False,0.5182211665612121,6.109157346780855,True,1.3242159265208633,8.976776490947412,True,0.2353132715430739,5.460926649384491,True,-0.07407782201094575,-3.0981577589318143,True,-0.22289676482205836,-1.5740544914143386,False,-0.1555367813791123,-3.0630517723851662,True,
LK1121030,-0.06157971127280255,-1.8223931097942654,False,0.47846350802463294,5.901507698614833,True,1.1284384585030378,6.12993534818453,True,0.24231362554007124,5.6968098618230885,True,-0.06976881391474767,-2.909094704933782,False,0.01644184907054884,0.10226264924345843,False,-0.11759269543129854,-3.397901019916043,True,
LK1121035,-0.06163718352647319,-1.8248325497340971,False,0.39663486859319347,5.376168422878477,True,1.261393997371138,6.84007969612607,True,0.26099023576481584,6.349922289421238,True,-0.0532269729511913,-2.142752390122177,False,0.13157659777520953,0.6268318734306708,False,-0.08271492434905427,-2.9652198575848656,False,
