scheme,year,zone_id,cell_size_m,landscape_area_ha,class_area_ha,class_fraction,n_patches,patch_density_per_100ha,total_edge_m,edge_density_m_per_ha,mean_patch_area_ha,largest_patch_index_pct,aggregation_index_pct,observed_fraction,below_coverage_floor
dynamic_world,2018,LK1109080,10.0,509.42,196.65,0.38602724667268656,36.0,7.0668603509873975,38110.0,74.81056888225825,5.4625,12.46908248596443,94.27130016133576,1.0,False
dynamic_world,2018,LK1109085,10.0,188.96,84.11,0.4451206604572396,16.0,8.46740050804403,17360.0,91.87129551227773,5.256875,21.501905165114312,94.29017910806587,1.0,False
dynamic_world,2018,LK1109090,10.0,175.13,91.65,0.523325529606578,20.0,11.420087934677097,15620.0,89.19088676982813,4.5825000000000005,40.50134186033233,95.45705149410078,1.0,False
dynamic_world,2018,LK1109095,10.0,223.86,60.47,0.27012418475833105,22.0,9.827570803180558,18020.0,80.49673903332439,2.748636363636364,11.45358706334316,93.03903501424024,0.982229827563512,False
dynamic_world,2018,LK1109100,10.0,192.59,114.28,0.5933849109507243,18.0,9.34627966145698,15120.0,78.50874915623864,6.348888888888889,42.208837426657674,96.23708152990018,1.0,False
dynamic_world,2018,LK1109105,10.0,90.37,35.78,0.39592785216332854,12.0,13.27874294566781,8520.0,94.27907491424145,2.981666666666667,20.692707756999003,93.20636725412166,1.0,False
dynamic_world,2018,LK1109110,10.0,125.15,44.35,0.35437475029964044,8.0,6.392329204954055,9490.0,75.82900519376747,5.54375,15.725129844186975,94.27655677655677,1.0,False
dynamic_world,2018,LK1109115,10.0,228.91,41.550000000000004,0.18151238478004458,33.0,14.416146083613647,14420.0,62.99418985627539,1.259090909090909,8.151675330916081,89.52450800635619,1.0,False
dynamic_world,2018,LK1109120,10.0,205.63,74.09,0.3603073481495891,19.0,9.239896902202986,17190.0,83.59675144677334,3.899473684210527,14.453143996498566,94.31888016387846,1.0,False
dynamic_world,2018,LK1109125,10.0,222.03,50.97,0.229563572490204,8.0,3.60311669594199,12630.0,56.884204837184164,6.37125,16.38066927892627,93.23450402944981,1.0,False
dynamic_world,2018,LK1109130,10.0,141.83,21.650000000000002,0.15264753578227455,13.0,9.16590284142988,7360.0,51.89311147147993,1.6653846153846155,8.094197278431924,92.02077431539188,1.0,False
dynamic_world,2018,LK1109135,10.0,91.51,3.75,0.04097912796415692,8.0,8.74221396568681,1820.0,19.888536771937492,0.46875,2.4806032127636324,87.0604781997187,1.0,False
dynamic_world,2018,LK1109140,10.0,54.38,4.18,0.07686649503493931,2.0,3.6778227289444647,1980.0,36.4104450165502,2.09,4.1927179109966906,87.54716981132076,1.0,False
dynamic_world,2018,LK1109145,10.0,131.06,8.78,0.06699221730505112,11.0,8.39310239584923,4470.0,34.10651609949641,0.7981818181818181,3.0062566763314513,87.44103773584905,1.0,False
dynamic_world,2018,LK1109150,10.0,177.44,6.640000000000001,0.03742110009017133,13.0,7.326420198376916,3260.0,18.372407574391342,0.5107692307692309,1.3469341749323716,86.52037617554859,1.0,False
dynamic_world,2018,LK1109155,10.0,151.48,8.35,0.05512278848692897,8.0,5.281225244256668,3450.0,22.77528386585688,1.04375,1.9012410879324004,91.1910669975186,1.0,False
dynamic_world,2018,LK1109160,10.0,101.29,10.08,0.09951624049758119,7.0,6.91085003455425,3340.0,32.97462730773028,1.44,5.222628097541712,92.31557377049181,1.0,False
dynamic_world,2018,LK1109165,10.0,59.620000000000005,16.67,0.27960415967796043,5.0,8.386447500838644,3040.0,50.98960080509896,3.3339999999999996,25.66252935256625,95.78720787207872,1.0,False
dynamic_world,2018,LK1109170,10.0,86.18,3.15,0.03655140403805987,5.0,5.801810164771409,1680.0,19.494082153631933,0.63,2.610814574147134,91.91919191919192,1.0,False
dynamic_world,2018,LK1109175,10.0,46.38,1.1500000000000001,0.024795170332039675,5.0,10.780508840017248,850.0,18.32686502802932,0.23,1.7033203967227253,89.42307692307692,1.0,False
dynamic_world,2018,LK1109180,10.0,58.31,0.66,0.011318813239581548,1.0,1.714971702966901,370.0,6.3453953009775335,0.66,1.1318813239581547,95.65217391304348,1.0,False
dynamic_world,2018,LK1109185,10.0,124.60000000000001,11.99,0.09622792937399678,18.0,14.446227929373995,6300.0,50.561797752808985,0.6661111111111112,2.889245585874799,85.69587628865979,1.0,False
