zone_id,observed_lst_c,greened_lst_c,delta_c,rank,priority
LK1109050,35.66580389422704,35.66580389422705,2.656234526205982e-16,383,False
LK1109055,37.652343195452424,37.652343195452424,-2.0417894705750005e-16,302,False
LK1109060,36.69727355391003,36.69727355391003,5.40336681186388e-17,328,False
LK1109065,38.34032093778394,38.34032093778394,-5.167583532800728e-16,243,False
LK1109070,37.990112551628975,37.990112551628975,1.0449157878825003e-16,263,False
LK1109075,35.83996244396285,35.83996244396285,-7.667727364317628e-17,362,False
LK1109080,35.90355799543641,35.90355799543641,1.0027820867582059e-16,394,False
LK1109085,35.29446089304765,35.29446089304765,0.0,404,False
LK1109090,34.779447328534914,34.77944732853492,2.9430764203081075e-16,423,False
LK1109095,36.379327315500575,36.379327315500575,3.3516166781136804e-16,338,False
LK1109100,34.2084532723706,34.2084532723706,4.616520599571272e-16,457,False
LK1109105,34.98499577202762,34.98499577202762,8.458842092382145e-17,439,False
LK1109110,35.384553152095194,35.384553152095194,2.842170943040401e-16,424,False
LK1109115,36.89507511339638,36.89507511339638,3.102806706375983e-16,336,False
LK1109120,36.260471307117825,36.260471307117825,-3.51753829584208e-17,382,False
LK1109125,37.065247948403204,37.06524794840321,1.8780865262381503e-16,316,False
LK1109130,37.58854677190403,37.58854677190402,-4.0314481461565967e-16,271,False
LK1109135,38.4218883506802,38.4218883506802,1.4802973661668753e-16,239,False
LK1109140,38.546929976604936,38.546929976604936,2.583791766400364e-16,221,False
LK1109145,38.615541072311956,38.615541072311956,-5.4239903493137417e-17,235,False
LK1109150,38.909888815524,38.909888815524,3.9040809657148365e-17,166,False
LK1109155,38.77198058976388,38.77198058976388,0.0,197,False
LK1109160,38.67432220063913,38.67432220063913,-7.03507659168416e-17,222,False
LK1109165,37.18018161328802,37.18018161328802,-4.817238886509154e-16,296,False
LK1109170,38.36927032629073,38.36927032629074,1.7988423690129118e-16,195,False
LK1109175,39.369954136132336,39.369954136132336,-1.3322676295501878e-15,126,False
LK1109180,39.869344122420955,39.869344122420955,-1.2250736823450003e-16,99,False
LK1109185,38.45471112570927,38.45471112570927,2.2920733411616134e-16,229,False
LK1109190,37.72603463586298,37.72603463586298,1.0658141036401502e-16,276,False
LK1109195,37.6063620063924,37.60636200639241,-1.7330310628295127e-16,277,False
LK1109200,36.07351908411067,36.07351908411067,1.5037941497568257e-16,376,False
LK1109205,36.20994326868194,36.20994326868194,4.505880763356733e-16,380,False
LK1109210,35.969962284635514,35.969962284635514,-8.214366887400002e-17,386,False
LK1109215,36.442859373021165,36.442859373021165,1.7330310628295127e-16,363,False
LK1109220,36.67155717628378,36.67155717628378,4.3951097057325786e-16,357,False
LK1109225,37.87166031938978,37.87166031938978,4.475859752819529e-16,284,False
LK1109230,36.82357654651473,36.82357654651474,1.5280488941077425e-16,317,False
LK1109235,38.21435583618898,38.21435583618898,1.321939973507163e-16,209,False
LK1109240,40.74238629118304,40.74238629118304,-1.6397140056002313e-15,94,False
LK1109245,38.67209336965684,38.67209336965684,7.558965274043619e-16,189,False
LK1109250,39.58476633872268,39.58476633872268,-4.98626481235158e-16,167,False
LK1109255,38.654584805774796,38.654584805774796,-1.246566203087895e-16,162,False
LK1109260,37.814396157183076,37.814396157183076,-8.359326303060002e-16,213,False
LK1109265,38.285309963869494,38.285309963869494,0.0,205,False
LK1109270,39.4051304154198,39.4051304154198,-3.806478941571965e-16,192,False
LK1109275,37.998909882003296,37.998909882003296,0.0,293,False
LK1109280,36.90009581541435,36.90009581541436,1.2321550331100002e-16,356,False
LK1109285,36.466458843708665,36.466458843708665,-2.651278864776493e-16,358,False
LK1112005,35.75732471396309,35.75732471396309,1.1985058193543859e-16,413,False
LK1112010,35.53906707375235,35.539067073752356,2.6074962780187164e-16,401,False
LK1112015,34.724689719298986,34.724689719298986,-2.3527905157619213e-16,456,False
LK1112020,34.57092238757326,34.57092238757326,2.81150003358313e-16,442,False
